strain	temp	timepoint	OD600	od_factor	total_time_h	time_since_dil_h	blank_od	timestamp	date	batch	MPN
ST00154	28	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00154	28	t_1	0.055	1	4	4	0.001	17:44:00	2024-03-26	SHP1	NA
ST00154	28	t_2	0.44499999999999995	5	20	20	0.002	10:44:00	2024-03-27	SHP1	NA
ST00154	28	t_3	0.33	2	24	24	0.005	13:41:00	2024-03-27	SHP1	NA
ST00154	28	t_4	0.31733333333333374	2.66666666666667	48	24	0.003	13:44:00	2024-03-28	SHP1	NA
ST00154	28	t_5	0.27200000000000035	2.66666666666667	72	48	0.002	14:02:00	2024-03-29	SHP1	NA
ST00164	28	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00164	28	t_1	0.296	1	4	4	0.001	17:44:00	2024-03-26	SHP1	NA
ST00164	28	t_2	0.765	5	20	20	0.002	10:44:00	2024-03-27	SHP1	NA
ST00164	28	t_3	0.762	2	24	24	0.005	13:41:00	2024-03-27	SHP1	NA
ST00164	28	t_4	0.8186666666666677	2.66666666666667	48	24	0.003	13:44:00	2024-03-28	SHP1	NA
ST00164	28	t_5	0.6826666666666675	2.66666666666667	72	48	0.002	14:02:00	2024-03-29	SHP1	NA
ST00143	28	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00143	28	t_1	0.016	1	4	4	0.001	17:44:00	2024-03-26	SHP1	NA
ST00143	28	t_2	0.125	5	20	20	0.002	10:44:00	2024-03-27	SHP1	NA
ST00143	28	t_3	0.09000000000000001	2	24	24	0.005	13:41:00	2024-03-27	SHP1	NA
ST00143	28	t_4	0.06666666666666675	2.66666666666667	48	24	0.003	13:44:00	2024-03-28	SHP1	NA
ST00143	28	t_5	0.09333333333333345	2.66666666666667	72	48	0.002	14:02:00	2024-03-29	SHP1	NA
ST00046	28	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00046	28	t_1	0.078	1	4	4	0.001	17:44:00	2024-03-26	SHP1	NA
ST00046	28	t_2	0.20999999999999996	5	20	20	0.002	10:44:00	2024-03-27	SHP1	NA
ST00046	28	t_3	0.22999999999999998	2	24	24	0.005	13:41:00	2024-03-27	SHP1	NA
ST00046	28	t_4	0.18133333333333354	2.66666666666667	48	24	0.003	13:44:00	2024-03-28	SHP1	NA
ST00046	28	t_5	0.12800000000000017	2.66666666666667	72	48	0.002	14:02:00	2024-03-29	SHP1	NA
ST00094	28	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00094	28	t_1	0.056	1	4	4	0.001	17:44:00	2024-03-26	SHP1	NA
ST00094	28	t_2	1.115	5	20	20	0.002	10:44:00	2024-03-27	SHP1	NA
ST00094	28	t_3	0.728	2	24	24	0.005	13:41:00	2024-03-27	SHP1	NA
ST00094	28	t_4	0.6693333333333342	2.66666666666667	48	24	0.003	13:44:00	2024-03-28	SHP1	NA
ST00094	28	t_5	0.6586666666666675	2.66666666666667	72	48	0.002	14:02:00	2024-03-29	SHP1	NA
ST00042	28	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00042	28	t_1	0.115	1	4	4	0.001	17:44:00	2024-03-26	SHP1	NA
ST00042	28	t_2	0.5750000000000001	5	20	20	0.002	10:44:00	2024-03-27	SHP1	NA
ST00042	28	t_3	0.532	2	24	24	0.005	13:41:00	2024-03-27	SHP1	NA
ST00042	28	t_4	0.46666666666666723	2.66666666666667	48	24	0.003	13:44:00	2024-03-28	SHP1	NA
ST00042	28	t_5	0.48533333333333395	2.66666666666667	72	48	0.002	14:02:00	2024-03-29	SHP1	NA
ST00060	28	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00060	28	t_1	0.157	1	4	4	0.001	17:44:00	2024-03-26	SHP1	NA
ST00060	28	t_2	1.22	5	20	20	0.002	10:44:00	2024-03-27	SHP1	NA
ST00060	28	t_3	0.822	2	24	24	0.005	13:41:00	2024-03-27	SHP1	NA
ST00060	28	t_4	0.48266666666666724	2.66666666666667	48	24	0.003	13:44:00	2024-03-28	SHP1	NA
ST00060	28	t_5	0.525333333333334	2.66666666666667	72	48	0.002	14:02:00	2024-03-29	SHP1	NA
ST00101	28	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00101	28	t_1	0.066	1	4	4	0.001	17:44:00	2024-03-26	SHP1	NA
ST00101	28	t_2	0.43499999999999994	5	20	20	0.002	10:44:00	2024-03-27	SHP1	NA
ST00101	28	t_3	0.414	2	24	24	0.005	13:41:00	2024-03-27	SHP1	NA
ST00101	28	t_4	0.33333333333333376	2.66666666666667	48	24	0.003	13:44:00	2024-03-28	SHP1	NA
ST00101	28	t_5	0.3040000000000004	2.66666666666667	72	48	0.002	14:02:00	2024-03-29	SHP1	NA
ST00154	32	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00154	32	t_1	0.08	1	4	4	0.001	17:58:00	2024-03-26	SHP1	NA
ST00154	32	t_2	0.35	5	20	20	0.001	10:53:00	2024-03-27	SHP1	NA
ST00154	32	t_3	0.364	2	24	24	0.001	13:54:00	2024-03-27	SHP1	NA
ST00154	32	t_4	0.31466666666666704	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00154	32	t_5	0.35466666666666713	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00164	32	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00164	32	t_1	0.32	1	4	4	0.001	17:58:00	2024-03-26	SHP1	NA
ST00164	32	t_2	0.765	5	20	20	0.001	10:53:00	2024-03-27	SHP1	NA
ST00164	32	t_3	0.808	2	24	24	0.001	13:54:00	2024-03-27	SHP1	NA
ST00164	32	t_4	0.6320000000000008	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00164	32	t_5	0.6240000000000009	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00143	32	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00143	32	t_1	0.03	1	4	4	0.001	17:58:00	2024-03-26	SHP1	NA
ST00143	32	t_2	0.14	5	20	20	0.001	10:53:00	2024-03-27	SHP1	NA
ST00143	32	t_3	0.06999999999999999	2	24	24	0.001	13:54:00	2024-03-27	SHP1	NA
ST00143	32	t_4	0.10400000000000013	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00143	32	t_5	0.07466666666666677	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00046	32	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00046	32	t_1	0.104	1	4	4	0.001	17:58:00	2024-03-26	SHP1	NA
ST00046	32	t_2	0.22999999999999998	5	20	20	0.001	10:53:00	2024-03-27	SHP1	NA
ST00046	32	t_3	0.148	2	24	24	0.001	13:54:00	2024-03-27	SHP1	NA
ST00046	32	t_4	0.4533333333333339	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00046	32	t_5	0.3306666666666671	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00094	32	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00094	32	t_1	0.033	1	4	4	0.001	17:58:00	2024-03-26	SHP1	NA
ST00094	32	t_2	0.6	5	20	20	0.001	10:53:00	2024-03-27	SHP1	NA
ST00094	32	t_3	0.52	2	24	24	0.001	13:54:00	2024-03-27	SHP1	NA
ST00094	32	t_4	0.28000000000000036	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00094	32	t_5	0.6320000000000008	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00042	32	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00042	32	t_1	0.132	1	4	4	0.001	17:58:00	2024-03-26	SHP1	NA
ST00042	32	t_2	0.6	5	20	20	0.001	10:53:00	2024-03-27	SHP1	NA
ST00042	32	t_3	0.438	2	24	24	0.001	13:54:00	2024-03-27	SHP1	NA
ST00042	32	t_4	0.47733333333333394	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00042	32	t_5	0.3200000000000004	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00060	32	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00060	32	t_1	0.17099999999999999	1	4	4	0.001	17:58:00	2024-03-26	SHP1	NA
ST00060	32	t_2	0.905	5	20	20	0.001	10:53:00	2024-03-27	SHP1	NA
ST00060	32	t_3	0.776	2	24	24	0.001	13:54:00	2024-03-27	SHP1	NA
ST00060	32	t_4	0.4293333333333339	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00060	32	t_5	0.36533333333333384	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00101	32	t_0	0.001	NA	0	0	NA	13:27:00	2024-03-26	SHP1	NA
ST00101	32	t_1	0.046	1	4	4	0.001	17:58:00	2024-03-26	SHP1	NA
ST00101	32	t_2	0.3	5	20	20	0.001	10:53:00	2024-03-27	SHP1	NA
ST00101	32	t_3	0.396	2	24	24	0.001	13:54:00	2024-03-27	SHP1	NA
ST00101	32	t_4	0.39200000000000046	2.66666666666667	48	24	0	14:05:00	2024-03-28	SHP1	NA
ST00101	32	t_5	0.3066666666666671	2.66666666666667	72	48	-0.001	14:02:00	2024-03-29	SHP1	NA
ST00042	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00042	28	t_1	0.499	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00042	28	t_2	0.45799999999999996	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00042	28	t_3	0.599	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00046	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00046	28	t_1	0.295	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00046	28	t_2	0.214	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00046	28	t_3	0.19	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00060	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00060	28	t_1	0.693	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00060	28	t_2	0.662	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00060	28	t_3	0.388	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00094	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00094	28	t_1	0.615	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00094	28	t_2	0.613	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00094	28	t_3	0.539	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00101	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00101	28	t_1	0.414	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00101	28	t_2	0.41	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00101	28	t_3	0.363	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00109	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00109	28	t_1	0.078	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00109	28	t_2	0.04700000000000001	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00109	28	t_3	0.044	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00110	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00110	28	t_1	0.189	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00110	28	t_2	0.217	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00110	28	t_3	0.225	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00143	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00143	28	t_1	0.126	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00143	28	t_2	0.11000000000000001	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00143	28	t_3	0.095	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00154	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00154	28	t_1	0.326	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00154	28	t_2	0.38799999999999996	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00154	28	t_3	0.32	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00164	28	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00164	28	t_1	0.703	1	24	24	0.015	10:32:00	2024-05-15	NS1	NA
ST00164	28	t_2	0.626	1	48	24	0.022	10:35:00	2024-05-16	NS1	NA
ST00164	28	t_3	0.567	1	72	24	0.002	10:40:00	2024-05-17	NS1	NA
ST00042	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00042	32	t_1	0.481	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00042	32	t_2	0.49	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00042	32	t_3	0.423	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00046	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00046	32	t_1	0.20299999999999999	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00046	32	t_2	0.18	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00046	32	t_3	0.148	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00060	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00060	32	t_1	0.828	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00060	32	t_2	0.661	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00060	32	t_3	0.335	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00094	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00094	32	t_1	0.601	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00094	32	t_2	0.604	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00094	32	t_3	0.538	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00101	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00101	32	t_1	0.4	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00101	32	t_2	0.391	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00101	32	t_3	0.338	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00109	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00109	32	t_1	0.079	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00109	32	t_2	0.147	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00109	32	t_3	0.091	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00110	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00110	32	t_1	0.218	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00110	32	t_2	0.237	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00110	32	t_3	0.222	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00143	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00143	32	t_1	0.143	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00143	32	t_2	0.108	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00143	32	t_3	0.095	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00154	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00154	32	t_1	0.347	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00154	32	t_2	0.399	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00154	32	t_3	0.232	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00164	32	t_0	0.001	NA	0	24	0.007	10:30:00	2024-05-14	NS1	NA
ST00164	32	t_1	0.734	1	24	24	0.004	10:37:00	2024-05-15	NS1	NA
ST00164	32	t_2	0.661	1	48	24	0.006	10:37:00	2024-05-16	NS1	NA
ST00164	32	t_3	0.652	1	72	24	0.002	10:32:00	2024-05-17	NS1	NA
ST00154	28	t_1	0.267	1	24	24	0.005	12:45:00	2024-07-10	ML1	15542110000
ST00154	28	t_2	0.238	1	48	24	0.002	12:50:00	2024-07-11	ML1	7738802000
ST00143	28	t_1	0.165	1	24	24	0.005	12:45:00	2024-07-10	ML1	105981500
ST00143	28	t_2	0.11599999999999999	1	48	24	0.002	12:50:00	2024-07-11	ML1	76980230
ST00110	28	t_1	0.227	1	24	24	0.005	12:45:00	2024-07-10	ML1	770170300
ST00110	28	t_2	0.27	1	48	24	0.002	12:50:00	2024-07-11	ML1	5779087000
ST00109	28	t_1	0.091	1	24	24	0.005	12:45:00	2024-07-10	ML1	105981500
ST00109	28	t_2	0.138	1	48	24	0.002	12:50:00	2024-07-11	ML1	15354200
ST00154	32	t_1	0.346	1	24	24	-0.002	12:52:00	2024-07-10	ML1	NA
ST00154	32	t_2	0.268	1	48	24	0.004	12:46:00	2024-07-11	ML1	543315300
ST00143	32	t_1	0.101	1	24	24	-0.002	12:52:00	2024-07-10	ML1	1537255000
ST00143	32	t_2	0.136	1	48	24	0.004	12:46:00	2024-07-11	ML1	10682210000
ST00110	32	t_1	0.214	1	24	24	-0.002	12:52:00	2024-07-10	ML1	NA
ST00110	32	t_2	0.156	1	48	24	0.004	12:46:00	2024-07-11	ML1	15354200
ST00109	32	t_1	0.115	1	24	24	-0.002	12:52:00	2024-07-10	ML1	153558600
ST00109	32	t_2	0.078	1	48	24	0.004	12:46:00	2024-07-11	ML1	15542110000
ST00154	28	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00154	28	t_3	0.291	1	72	24	-0.003	12:47:00	2024-07-12	ML1	NA
ST00143	28	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00143	28	t_3	0.114	1	72	24	-0.003	12:47:00	2024-07-12	ML1	NA
ST00110	28	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00110	28	t_3	0.151	1	72	24	-0.003	12:47:00	2024-07-12	ML1	NA
ST00109	28	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00109	28	t_3	0.039	1	72	24	-0.003	12:47:00	2024-07-12	ML1	NA
ST00154	32	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00154	32	t_3	0.278	1	72	24	0.002	12:50:00	2024-07-12	ML1	NA
ST00143	32	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00143	32	t_3	0.165	1	72	24	0.002	12:50:00	2024-07-12	ML1	NA
ST00110	32	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00110	32	t_3	0.146	1	72	24	0.002	12:50:00	2024-07-12	ML1	NA
ST00109	32	t_0	0.001	NA	0	0	NA	13:03:00	2024-07-09	ML1	NA
ST00109	32	t_3	0.057999999999999996	1	72	24	0.002	12:50:00	2024-07-12	ML1	NA
